p1,p2,p3,p4,p5,p6,p7,p8,rsi,rsi1,rsi2,rsi3,rsi4,rsi5,rsi6,rsi7,sto,sto1,sto2,sto3,sto4,sto5,sto6,sto7,macd,macd1,macd2,macd3,macd4,macd5,macd6,macd7,macdl,macd1l,macd2l,macd3l,macd4l,macd5l,macd6l,macd7l,macds,macd1s,macd2s,macd3s,macd4s,macd5s,macd6s,macd7s,stol,sto1l,sto2l,sto3l,sto4l,sto5l,sto6l,sto7l,stos,sto1s,sto2s,sto3s,sto4s,sto5s,sto6s,sto7s,Pred
7211.74125,7206.900625,7222.06625,7216.963125,7218.88625,7222.6175,7210.6425,7204.5215625,31.05957122734029,36.472164602757815,47.68303357872619,43.33819369416853,47.294395107435435,49.9067029174872,41.4074150033206,41.009587811366686,2.046635110255422,12.50599940879003,-1.2401074073365803,-23.60916339513505,17.063321490915346,-10.975142034410208,0.16343212387642106,5.7814985973777135,-5.995624679606656,-3.963940691163303,0.2714692198051181,1.1150447513999353,1.181665410475615,1.599849419546033,0.1054248886518897,-0.7438133510344462,-7.298087923153844,-10.237178576064252,-7.243492389684888,-5.253481353677671,-4.156589380103469,-2.2596540481947613,-2.94778665454578,-5.004180459013696,-1.3024632435471886,-6.27323788490095,-7.5149616094900065,-6.368526105077606,-5.338254790579084,-3.859503467740794,-3.0532115431976696,-4.26036710797925,19.363420031534385,75.0,96.27967777799023,7.105718731217463,73.63995541837609,64.43966470526722,13.436236585921366,58.28399020719074,17.31678492127896,62.49400059120997,97.51978518532681,30.71488212635251,56.576633927460755,75.41480673967746,13.272804462044942,52.50249160981302,1
7224.799166666668,7234.988333333334,7242.283333333334,7238.918333333332,7231.434166666666,7192.1925,7197.4191666666675,7208.1641666666665,34.42840556566323,41.37477241956348,44.58213213287129,44.26327570354805,41.289269196771016,30.19408692040368,35.582842270490346,42.65209452027093,-18.72034657422847,23.30803721784932,-3.6759815096103376,-15.091024014691035,-10.706144565721596,5.5886067661807335,23.05404338715249,0.166596177205894,0.4777820212560625,2.613303251330978,4.601654617965469,4.501072416957147,3.082092639472627,-1.2415585690738429,-2.222763208640321,0.4804065668330034,-23.360654030375986,-19.90157899522121,-14.85886982722847,-11.429621037199464,-10.161045546984802,-14.172412360304403,-16.986548914097508,-14.615418137277324,-23.838436051632037,-22.5148822465522,-19.46052444519394,-15.930693454156616,-13.243138186457427,-12.930853791230565,-14.76378570545719,-15.09582470411033,33.382528692140674,96.72914277740936,92.22427254562305,53.547396435585966,20.31953598886168,12.537756402941346,76.77481188002264,87.14198188866432,52.10287526636914,73.42110555956005,95.9002540552334,68.63842045027701,31.025680554583282,6.9491496367606125,53.72076849287015,86.97538571145843,1
7513.5575,7498.8375,7485.645,7478.355,7484.64375,7484.86625,7472.50375,7484.8555,43.153209057114154,32.2591626220037,30.21272897002276,27.049416413790308,37.0002285984893,37.83347471832407,32.09528397852821,44.476945272646944,-6.961058428417478,-9.705608238249182,14.723748560580347,-8.627256564048604,42.40125552717935,-9.413355958300263,-39.084391565410755,19.27522656423009,-0.2851038591375079,-1.5944892388384326,-3.3661059323360303,-3.9474787127280373,-2.984870769658206,-1.648105328450705,-1.7156890902698123,0.347267699902336,-2.6530945338045058,-4.482870138221188,-7.827509161881608,-10.287538872909408,-11.008752441329307,-10.627899233358221,-11.507046343967884,-9.965521935708782,-2.3679906746669976,-2.8883808993827547,-4.461403229545579,-6.340060160181372,-8.0238816716711,-8.979793904907517,-9.791357253698074,-10.31278963561112,14.55841235737378,0.0,26.527073765383573,15.012432569948958,97.74662128556659,83.62658734811617,0.0,90.26662460836037,21.519470785791253,9.705608238249182,11.803325204803224,23.639689133997564,55.34536575838726,93.03994330641643,39.084391565410755,70.99139804413026,1
7426.063333333333,7399.12,7400.175,7402.71,7398.099166666668,7398.385833333333,7392.5808333333325,7393.078055555556,35.56300543647789,27.34642241116721,30.680009583425807,34.481197718061516,35.02947988141801,38.47543009371557,38.34253843077961,42.07122179929888,-13.444340100355365,-5.089029541549666,28.54247281508428,1.4210854715202004e-14,-8.416401929690528,-10.748195573688278,0.7137633108468128,6.150278064177365,0.9249275204365296,-1.1069489293990256,-1.284655856984158,0.6378821733609167,1.4606714520784436,2.0692379360765503,1.7200505521703169,1.9934076136766081,-16.499365258774258,-18.66049882527234,-20.01338561206042,-18.13448351468075,-16.336038195455938,-14.305858239131943,-13.276310294272056,-9.954597992535128,-17.424292779210788,-17.55354989587332,-18.728729755076266,-18.772365688041663,-17.79670964753438,-16.375096175208498,-14.996360846442373,-11.948005606211732,20.64413804808612,7.186290777373617,79.92105129917147,100.0,52.63061727163819,55.43470625407218,34.427787708607305,61.75328186370879,34.08847814844148,12.27532031892328,51.37857848408719,100.0,61.04701920132871,66.18290182776046,33.714024397760504,55.60300379953143,1
7531.845833333334,7507.156666666668,7494.32,7499.9775,7495.568333333334,7508.376666666666,7510.4725,7496.463888888888,50.962903385694865,38.21990952840901,35.70294049835836,40.849496088961686,39.691465212663886,48.86293734374426,49.818061772631,44.44762048238244,-18.564746125083907,-4.26986141502015,20.343352612468177,5.612838397412884,-17.377594851738127,22.87586756543633,-22.33991556848002,4.7211768816670885,3.3668955201132693,0.5322008936931498,-1.7956932961469854,-0.972898702716368,-0.4944215222804533,1.2334138228807583,2.7529875399187738,0.6196749053340018,-5.36762631820784,-6.935773812964423,-10.228064011523506,-10.426205767306481,-10.340251068059235,-8.326082144859962,-4.909808100318212,-5.64305469699957,-8.73452183832111,-7.4679747066575715,-8.43237071537652,-9.453307064590113,-9.845829545778784,-9.55949596774072,-7.662795640236987,-6.262729602333572,45.1179432963205,2.818304414631045,33.333333333333336,79.57764446298809,31.52639997351852,90.49602010194822,58.241737190306814,38.14593860263327,63.6826894214044,7.088165829651196,12.989980720865152,73.96480606557523,48.90399482525665,67.6201525365119,80.58165275878684,33.42476172096618,1
7391.166666666666,7347.9225,7327.120000000001,7337.0583333333325,7332.306666666666,7334.3083333333325,7312.931666666666,7300.835277777778,46.4619806894277,34.39039758576118,31.27076163705721,37.742837362312976,37.758345126937755,41.46545680070751,34.999465403258355,37.056773280323725,-24.638475264688978,4.480450272941214,1.9436217607151485,23.80700770678925,-29.124940719422945,25.821288525256342,-26.92742754627887,9.481652078471818,1.3002666266914789,-3.371397877638412,-6.358045075481511,-3.7770817113324817,-0.9895371473654476,0.7487547840673443,0.2450971563394665,-0.2604879737470039,-7.012392873774236,-12.75522578880282,-20.165516427818147,-21.312938660900425,-19.737462957773463,-17.987634836613324,-17.91011868172639,-19.297071896279,-8.312659500465715,-9.383827911164406,-13.807471352336636,-17.535856949567943,-18.747925810408013,-18.736389620680672,-18.15521583806586,-19.036583922531992,5.2477322074481085,6.720675409411801,19.079712320487584,95.34661961066836,36.651750396401134,88.20152325709125,16.9070016247761,52.8144814035219,29.886207472137087,2.2402251364705874,17.136090559772438,71.53961190387909,65.77669111582408,62.380234731834896,43.834429171054964,43.33282932505008,1
7194.940000000001,7164.5025,7145.4297916666665,7153.28375,7150.7352083333335,7137.045416666668,7144.241666666668,7132.244305555555,22.89107257003704,32.18356159310757,34.88522121084353,44.87041035358591,46.65436850945185,43.526933106571924,50.500937848118106,45.6262437323051,8.333333333333353,-2.7777777777777546,1.4643621866121903,-4.130096580700382,-1.749747309937098,5.485472253356296,-3.70177947045391,3.479194394943701,-8.871447127602364,1.297168102556812,3.0715931069644635,3.7385191285630937,1.2517871864435717,-0.2738139834448576,1.2485051741367452,-0.5936171081108008,-25.747681213411397,-30.700877769450244,-19.95408018472828,-7.500885144669838,-3.6171065123162407,-4.762758861318692,-1.3043140199803631,-3.1722121895766877,-16.876234085809028,-31.99804587200705,-23.025673291692748,-11.239404273232932,-4.8688936987598135,-4.488944877873834,-2.552819194117108,-2.578595081465888,32.335202432269256,66.8605781479595,56.1293798636499,47.573236168955354,51.08628801173618,48.756996232653705,53.28733924916337,53.079792190340356,24.0018690989359,69.63835592573726,54.6650176770377,51.703332749655715,52.836035321673286,43.2715239792974,56.98911871961728,49.60059779539665,1
7354.864583333334,7309.281666666668,7325.003333333334,7320.1075,7307.198333333334,7315.522083333332,7314.710416666668,7300.728958333332,37.226576351979325,32.178034412523324,40.62737099655399,42.835556735099175,41.82141201009804,46.533088443703896,47.57202779110672,44.056002297294036,6.763282697794392,6.335128365805362,-15.601550090985565,2.9444627771779595,12.657087313807596,-3.8486417718514665,-2.7236825147925523,1.4360556639938409,-13.292068830569875,-11.494815450127053,-1.7924401366197191,1.5808101532800312,0.8763123986811227,2.596692774694358,2.4510314078083644,-0.1913454339133369,-2.5062587074618627,-19.862768164176334,-18.92809975869537,-14.84456434044599,-13.66218816003387,-9.133172318530796,-5.266758026257321,-5.850711440256647,10.78581012310801,-8.367952714049283,-17.135659622075657,-16.42537449372602,-14.538500558714993,-11.729865093225154,-7.7177894340656845,-5.659366006343308,23.830640784625288,35.29818110041636,59.256645255108396,56.207260473125324,66.59102583119207,76.2916970251691,51.86905687861957,40.82398172124447,17.067358086830893,28.963052734611,74.85819534609395,53.26279769594736,53.93393851738447,80.14033879702056,54.59273939341213,39.38792605725063,1
6706.449166666666,6688.5075,6672.201666666668,6688.418333333332,6689.7575,6632.208333333332,6598.048333333332,6556.571944444445,27.722257203869066,27.76990687007898,29.2366502999792,34.273671926911405,33.82621485537663,26.536121112486445,29.784943931467385,31.00655304931251,16.19520653725254,-10.60060526048479,27.738732056565585,-4.7369515717340026e-15,-28.736256670801268,-4.597076662532069,14.023233102779145,6.436700076851393,-9.084125835332612,-10.81304336346208,-7.949199254086075,0.7183057873390859,5.845969286297461,2.429999246131852,-0.2247271595714627,-0.3410075297947625,-55.12421569875005,-64.96698089764989,-69.34764078910727,-62.30370727553236,-53.64836565411285,-53.96383309266185,-56.23699093372852,-58.6833019532664,-46.040089863417435,-54.15393753418781,-61.39844153502119,-63.02201306287144,-59.49433494041031,-56.393832338793686,-56.01226377415706,-58.342294423471614,46.9597778032179,50.11713716363658,66.66666666666667,95.29568742048565,42.06587400490249,0.0,63.24118389969912,69.72817379839782,30.764571265965362,60.71774242412136,38.92793461010108,95.29568742048565,70.80213067570376,4.597076662532069,49.217950796919965,63.291473721546424,1
7323.061428571428,7103.084285714286,7111.3714285714295,7118.154642857144,7105.5767857142855,7127.971785714286,7080.838928571428,6955.411363636364,31.191451150511952,21.960398783789188,33.291716244284984,37.87021531463325,40.88276443900345,46.901661828970326,40.0262937144408,32.197442882054034,-8.168522340729313,1.4528920003184285,7.6480218032408445,-4.694311016335635,4.694311016335577,-10.515508120323027,3.929747856505271,1.1771750680935125,-20.678741135525488,-29.71520354784352,-1.8393118122923835,14.98873285124055,10.959041866562496,11.540640532236814,2.2783590118407147,-9.706525679576012,-38.047299038514474,-95.6596481386727,-97.14863797709313,-59.473836323930556,-41.95234923817212,-21.597446807998363,-18.91769413322059,-43.861856414333744,-17.36855790298898,-65.94444459082918,-95.30932616480075,-74.46256917517111,-52.91139110473461,-33.13808734023518,-21.196053145061306,-34.155330734757726,30.63638006985899,22.94869176995631,96.61991274113056,39.22761703346883,62.34794673517686,67.35331863748448,13.61266184093084,48.960124343456755,38.80490241058831,21.49579976963788,88.97189093788971,43.92192804980446,57.65363571884129,77.86882675780751,9.68291398442557,47.78294927536326,1
8833.549166666668,8781.804583333333,8798.149583333334,8800.070416666667,8796.155416666666,8757.3825,8695.190416666666,8655.6975,25.576066012681927,26.20862731325029,37.29492366479856,40.254241363763725,42.84291818642664,34.91787326928521,30.041247803678772,30.930472392069372,-0.7324620850278721,15.367815548671976,-0.10154320192744376,-11.172386583987901,-0.4474462121637052,9.363432064381684,-7.9583595448289906,10.31630347852641,-0.8481535843554511,-2.4777659059878565,5.2114735843859785,7.209968637697711,5.1808477283131245,-0.02236458732333387,-5.744783017967934,-5.902748136097717,-42.00236622390881,-47.33137734987668,-36.20748380266772,-23.701473155872307,-17.150063052801062,-18.37159577777402,-28.781165396052533,-40.18845840667533,-41.154212639553364,-44.853611443888816,-41.418957387053695,-30.911441793570024,-22.330910781114188,-18.349231190450684,-23.036382378084607,-34.285710270577624,15.59811609563449,62.255953601611786,71.13697446767732,59.12654370883726,55.60256000906124,26.25950153224111,39.97424738535225,71.51327571800898,16.330578180662364,46.88813805293979,71.23851766960478,70.29893029282516,56.05000622122494,16.896069467859427,47.932606930181244,61.19697223948258,1
8865.94,8848.16625,8826.032500000001,8820.32,8826.32375,8829.035,8817.8,8818.2925,61.185675646751356,44.82460593708859,35.20032383645058,35.926370866403076,39.59352777759901,42.48275744911547,37.50731567399881,40.02132571320506,-33.333333333333336,-16.666666666666668,2.173231219782318,22.18381445107025,22.83378932448389,-23.53102115821745,-21.34737238624927,19.48198920869128,-1.9876295593011664,-3.565173192803294,-6.09844280783204,-6.84262124718734,-5.6953995546786444,-3.92807101026624,-3.5148658271262248,-2.4136852374468747,9.296302268637193,6.197852383023927,0.8996522734842074,-3.2447427187089484,-5.111202695760767,-5.491509608103115,-6.867597418122388,-7.953683985908357,11.283931827938357,9.763025575827221,6.998095081316247,3.5978785284783923,0.5841968589178776,-1.5634385978368754,-3.3527315909961617,-5.539998748461481,50.0,0.0,3.2598468296734766,36.53556850627886,91.5725049860094,60.48972075567852,6.937324352609235,50.23540558191516,83.33333333333334,16.666666666666668,1.0866156098911588,14.351754055208604,68.73871566152549,84.02074191389599,28.284696738858504,30.753416373223885,1
8688.956666666667,8690.065,8673.14,8651.701666666666,8630.434166666668,8615.64,8617.851666666667,8617.19875,41.27797962661686,42.738635303773634,35.55269054845238,32.91271341597119,28.836097759942337,28.737769755702143,33.18907754845989,36.907893961216026,-26.393095241807323,10.30125590100278,-17.241493992528806,30.77921942806241,-27.820197702921487,19.26320049708129,2.9786936587609367,6.0993130892626235,0.08278614016284876,-0.20822315837580813,-1.6457449437111435,-4.016485179565576,-5.314984931266805,-5.844786719789277,-3.5502969839197145,-1.0498386524184298,-1.2597595083910471,-1.6862558520830742,-3.8912400836167462,-8.826847717617056,-13.617756457412419,-18.59003138486878,-19.5497182554415,-18.88653687296301,-1.3425456485538956,-1.478032693707266,-2.2454951399056027,-4.81036253805148,-8.302771526145618,-12.745244665079506,-15.999421271521785,-17.836698220544573,10.41035713728903,49.52582020972354,0.0,62.62441905947423,25.72903191036502,38.58480669584994,80.66761614945601,62.70128759459377,36.80345237909635,39.22456430872076,17.241493992528806,31.84519963141182,53.549229613286506,19.321606198768645,77.68892249069506,56.60197450533114,1
8997.501666666667,8932.888333333334,8834.040833333334,8814.550000000001,8833.165833333333,8824.9325,8790.350833333332,8753.80875,39.17616212092405,26.69006151709875,16.766867975382628,17.485281655482414,27.914434762869448,28.19141252161245,23.66843120889161,27.44883806195267,5.330439426820996,-9.859098642812194,8.252852109503014,13.943303119312324,9.948606306476373,-8.284874010829675,-23.859887524461985,25.00000000000001,-2.5153097328973795,-7.75244439220965,-18.9321941228074,-18.31946128774224,-9.641484719601157,-2.434629937316044,-1.1314873185225878,-2.459625731704614,-6.561688902432555,-15.505931134607332,-38.841578231203435,-52.46339939064153,-53.4568416177032,-49.65297760072463,-49.12369935360342,-52.9908147159822,-4.046379169535175,-7.753486742397682,-19.909384108396033,-34.143938102899284,-43.815356898102046,-47.21834766340857,-47.992212035080826,-50.531188984277584,29.577295928436595,5.609766783720661,12.379278164254513,52.776661565465076,96.43428460587505,69.03147360511815,0.0,63.605061047965094,24.2468565016156,15.468865426532853,4.126426054751497,38.83335844615275,86.48567829939866,77.31634761594783,23.859887524461985,38.605061047965094,1
9215.291875,9183.35,9192.290625,9209.456875,9196.60875,9200.80875,9200.20125,9181.184722222222,26.475151149628008,25.53878393468363,35.140139086425,46.224884019215146,41.43281430060177,45.67023516336036,45.85962586211358,40.55843709598371,-3.039832280227976,22.520313942325558,-2.675128159769564,2.4010582191790766,-14.631726282976382,12.006788695159829,-0.3964428826677264,2.5667273194441083,-1.5037936391270006,-5.215261287865632,-1.9177456438923803,2.7628557595841934,2.8723396667858703,2.382450283159092,2.14760977574184,-0.33670725786683764,-11.372560027398775,-19.448383042418754,-19.61280820027605,-13.967411159762378,-10.36876979206818,-8.554345491621461,-6.5246822467706815,-7.6743923980057955,-9.868766388271775,-14.233121754553125,-17.695062556383668,-16.730266919346573,-13.241109458854046,-10.936795774780553,-8.672292022512519,-7.337685140138958,11.927437921861296,68.02651542687116,88.68749562951382,95.86936600260263,18.96556940810645,88.34246659613687,36.421322222835066,50.33057407659962,14.967270202089276,45.50620148454559,91.36262378928338,93.46830778342354,33.597295691082834,76.33567790097705,36.817765105502794,47.763846757155505,1
